id, label, TF
1, storwize v7000,  0.39925907425907425
2, v7000 control enclosure,  0.17515262515262514
3, storwize v7000 control,  0.17515262515262514
4, storwize v7000 control enclosure,  0.17515262515262514
5, management gui,  0.13380849919311458
6, web browser,  0.11013986013986014
7, similar error,  0.11013986013986014
8, 2.5-inch drives,  0.05119880119880119
9, storwize v7000 gen2,  0.04768842268842269
10, v7000 expansion enclosure,  0.04597902097902097
11, ** Unable to connect to the management GUI If received a Page not found or similar error this information, 0
12, **  Problem, 0
13, **  you are unable to connect to the management GUI from your web web browser received a Page not found or similar error, 0
14, **  received a Page not found or similar error , 0
15, **  this information, 0
16, **  you are unable to connect to the management GUI from your web web browser received a Page not found or similar error , 0
17, **  this information, 0
18, **  for 2.5-inch drives drives Problem, 0
19, **  you are unable to connect to the management GUI from your web web browser, 0
20, **  a Page not found or similar error, 0
